ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly
2024.0,128.0,motorola,6.5,lcd,34.5,4.0,0.8,175.0,1080.0,2400.0,5000.0,173.57142857142856,549.0,85.65,-0.6271571192100277,1
2024.0,512.0,doogee,6.78,lcd,2.5,32.0,1.58,383.0,2460.0,1080.0,8680.0,5.333333333333333,569.99,399.99,0.7558013551222329,-1
2024.0,512.0,cubot,6.58,lcd,2.6,32.0,2.57,254.42,2408.0,1080.0,10200.0,18.666666666666668,199.99,389.99,0.7118057301832413,-1
2024.0,64.0,energizer,1.57,lcd,0.0,1.0,1.4,170.0,1280.0,720.0,1000.0,314.1463414634147,199.99,19.99,-0.9160323925594462,-1
2024.0,128.0,umidigi,6.75,lcd,2.0,12.0,0.79,189.0,1080.0,2400.0,5000.0,160.5263157894737,149.99,127.49,-0.4430794244652871,1
2024.0,256.0,realme,6.72,lcd,2.8,8.0,0.79,350.0,1080.0,2400.0,6000.0,1.1111111111111112,329.99,178.0,-0.2208575228984407,1
2023.0,256.0,doogee,4.5,lcd,2.8,8.0,2.57,254.42,1080.0,2400.0,3000.0,1.1904761904761905,169.99,169.99,-0.2560980184745729,1
2024.0,128.0,bewinner,2.5,lcd,26.5,1.0,2.57,254.42,1080.0,2400.0,5000.0,2.962962962962963,92.42,92.42,-0.5973720811263304,1
2024.0,512.0,xiaomi,6.67,oled,2.8,12.0,0.89,205.0,2400.0,1080.0,5000.0,63.33333333333333,364.0,347.0,0.5226685385705165,1
2025.0,256.0,oukitel,6.56,ips,2.0,24.0,1.53,680.0,720.0,1600.0,11000.0,16.444444444444443,259.99,249.99,0.09586698103735954,-1
2024.0,256.0,motorola,6.55,oled,1.0,12.0,0.78,170.0,1080.0,2400.0,5000.0,184.4186046511628,399.0,234.0,0.025517976759911992,1
2024.0,64.0,fossibot,6.74,lcd,2000.0,12.0,2.57,254.42,1080.0,2400.0,10300.0,39.285714285714285,139.99,109.99,-0.5200717681085223,-1
2023.0,128.0,vivo,6.56,lcd,2.4,4.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,139.9,139.9,-0.3884808539159985,1
2025.0,256.0,oukitel,6.7,amoled,2.2,24.0,0.82,490.0,2412.0,1080.0,5150.0,3.75,260.0,260.0,0.13990660160129004,1
2024.0,128.0,xiaomi,6.56,lcd,1.0,2.0,2.57,254.42,1080.0,2400.0,3600.0,111.7948717948718,87.65,82.0,-0.6432155223127597,1
2024.0,128.0,oukitel,6.8,lcd,2.2,24.0,2.57,254.42,720.0,1600.0,5150.0,68.09523809523809,199.99,189.99,-0.1681067685965898,1
2024.0,64.0,oukitel,6.52,lcd,2.3,7.0,1.0,350.0,1760.0,1060.0,10600.0,37.567567567567565,149.99,139.99,-0.38808489329154755,1
2025.0,128.0,doogee,5.5,lcd,1.6,8.0,1.62,262.0,1080.0,2400.0,6300.0,8.444444444444445,159.99,116.0,-0.49363039752018834,1
2024.0,256.0,cubot,6.58,lcd,2.0,16.0,0.97,217.0,1920.0,1080.0,5000.0,51.62162162162162,146.99,129.99,-0.4320805182305391,1
2025.0,512.0,doogee,6.78,lcd,2.6,36.0,1.63,383.0,1080.0,2160.0,8680.0,7.659574468085106,639.99,499.99,1.1957576045121485,-1
2024.0,128.0,cubot,6.75,lcd,1.8,12.0,2.57,254.42,720.0,1600.0,5100.0,15.25,129.99,99.99,-0.564067393047514,1
2024.0,128.0,ulefone,5.5,amoled,1.8,3.0,1.38,235.0,720.0,1440.0,5000.0,25.71428571428571,199.99,139.99,-0.38808489329154755,1
2024.0,128.0,oukitel,6.52,lcd,1.6,127.0,0.9,460.0,1080.0,1920.0,4300.0,66.59090909090908,99.99,79.99,-0.652058642925497,-1
2024.0,256.0,samsung,6.3,amoled,2.9,12.0,2.57,254.42,1920.0,1080.0,5000.0,167.5,199.99,961.09,3.224395870449049,1
2022.0,128.0,xiaomi,40.55,amoled,3.0,8.0,0.7,173.0,2400.0,1080.0,5000.0,25.0,217.66,169.0,-0.26045358534353313,1
2023.0,256.0,xiaomi,6.67,amoled,2.0,8.0,2.57,254.42,2400.0,1080.0,5000.0,2705.31914893617,195.99,195.99,-0.14170939363319487,1
2024.0,128.0,oscal,6.5,lcd,2.0,7.0,0.94,193.0,720.0,1600.0,5080.0,112.6829268292683,199.99,89.99,-0.6080630179865055,1
2024.0,128.0,fossibot,5.45,lcd,14.4,7.0,2.57,254.42,720.0,1440.0,10600.0,63.0,199.99,139.99,-0.38808489329154755,1
2024.0,128.0,doogee,6.52,lcd,2.3,9.0,0.91,187.0,720.0,1600.0,4200.0,6.666666666666667,199.99,89.99,-0.6080630179865055,1
2024.0,256.0,oppo,6.56,lcd,3.0,8.0,2.57,254.42,2400.0,1080.0,5100.0,2.9268292682926838,149.0,144.0,-0.370442647691012,1
2024.0,128.0,samsung,6.5,superamoled,3.4,5.0,0.81,190.0,1080.0,2400.0,5000.0,1091.190476190476,449.0,296.0,0.2982908513816596,1
2018.0,256.0,apple,6.1,xdr,2.5,8.0,2.57,254.42,1080.0,2400.0,2815.0,65.0,499.99,379.0,0.6634545383752896,1
2024.0,64.0,oukitel,6.6,lcd,21.8,8.0,2.57,254.42,720.0,1600.0,4300.0,31.818181818181817,239.99,99.99,-0.564067393047514,1
2024.0,128.0,cubot,6.75,lcd,1.8,12.0,2.57,254.42,720.0,1600.0,5100.0,15.25,129.99,99.99,-0.564067393047514,1
2024.0,128.0,google,6.3,amoled,3.0,12.0,0.86,190.0,1080.0,2160.0,4650.0,56.74418604651163,1099.0,849.0,2.7312489105078925,1
2024.0,64.0,doogee,5.5,lcd,17.9,8.0,2.57,254.42,1080.0,2400.0,6300.0,0.8,199.99,109.99,-0.5200717681085223,1
2022.0,512.0,xiaomi,6.67,amoled,2.6,12.0,2.57,254.42,1440.0,3200.0,5000.0,15.217391304347828,25.01,595.99,1.6181156039264675,1
2024.0,128.0,xiaomi,6.43,lcd,2.4,4.0,0.81,179.5,1920.0,1080.0,5000.0,3821.590909090909,499.99,188.75,-0.1735622260890248,-1
2024.0,128.0,xiaomi,6.79,lcd,2.0,4.0,0.82,30.0,2460.0,1080.0,5000.0,320.0,499.99,152.89,-0.33133053712024857,1
2024.0,128.0,doogee,6.56,lcd,32.3,20.0,2.57,254.42,720.0,1600.0,5000.0,4.634146341463415,159.99,89.99,-0.6080630179865055,1
2024.0,64.0,leyt,5.0,lcd,2.1,32.0,2.57,254.42,1080.0,2400.0,3500.0,19.45945945945946,64.23,64.23,-0.7213957478293477,1
2024.0,128.0,zte,6.56,lcd,22.5,4.0,11.42,500.0,720.0,1600.0,5000.0,4.634146341463415,1.22,98.68,-0.5698308199145217,-1
2024.0,256.0,apple,6.1,xdr,2.5,12.0,2.57,254.42,1080.0,2400.0,2815.0,302.97297297297297,549.0,468.0,1.0550156003323143,1
2023.0,128.0,oukitel,6.52,lcd,2.8,16.0,2.57,254.42,1600.0,720.0,10600.0,213.6842105263158,199.99,169.99,-0.2560980184745729,1
2024.0,256.0,ulefone,6.75,lcd,16.3,8.0,0.91,320.0,1560.0,720.0,11.0,9.25,139.99,118.99,-0.4804757056634299,1
2022.0,256.0,samsung,6.4,oled,3.2,6.0,2.5,186.0,1080.0,2400.0,5000.0,1040.681818181818,273.57,273.57,0.19960866464350155,1
2024.0,256.0,samsung,6.6,amoled,2.2,6.0,1.02,240.0,1920.0,1080.0,5000.0,37.906976744186046,303.36,229.0,0.0035201642904162164,1
