_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0CJFJQLRF,3.0,79.99,499.99,,zokoe,android 9.0,3.0,lcd,2023.0,3.0,9.4,4.74,1.25,84.0
B0DMCLZBYX,5160.0,137.78,137.78,256.0,redmi,"android 14, hyperos",6.88,lcd,2024.0,8.0,,,,
B0D97XX8Z4,5000.0,75.0,109.0,,,,,,,,,,,
B0CMJL5QMK,5100.0,238.0,499.99,,,,,amoled,,12.0,,,,
B0DFGKGGD5,5100.0,135.0,135.0,,,,,lcd,,,16.57,7.6,0.77,250.0
B0DPHMWDZN,5000.0,218.15,349.0,256.0,xiaomi,xiaomi hyperos,6.67,oled,2024.0,8.0,,,,
B0DPXMFDNS,4000.0,1089.0,999.99,,,,,,,,,,,
B0CQRBM82X,5000.0,176.0,11.36,,,,,,,6.0,16.46,7.54,0.76,500.0
B0D266YCVL,5000.0,155.08,199.0,,,,,lcd,,,16.57,7.6,0.77,186.0
B09STZG984,1.0,20.71,20.71,,,,,,,,,,,
B08CH7RHDP,3600.0,86.39,119.99,,,,,,,2.0,16.48,7.71,0.9,194.0
B0CR16WJH9,5000.0,305.19,1299.0,,xiaomi,android 13.0,6.67,amoled,2024.0,12.0,16.04,7.43,0.82,190.0
B0CP2FGY64,5500.0,976.6,1229.99,,,,,amoled,,16.0,16.4,7.7,0.91,225.0
B09MJSV5WB,2815.0,379.0,1299.0,128.0,apple,ios 15,6.1,xdr,2018.0,6.0,,,,
B0CMRRKV79,5000.0,144.27,999.99,256.0,xiaomi,android 13.0,6.74,lcd,2024.0,8.0,16.8,7.8,0.81,192.0
B07RMHCWLM,3600.0,28.99,29.9,,,,,,,,13.2,9.4,6.3,82.0
B0CQZ4BK6C,5000.0,278.0,297.0,,,,,oled,,8.0,16.14,7.42,0.89,204.8
B0CMJGC9HP,5000.0,229.9,229.9,,,,,amoled,,8.0,,,,
B0D53ZYFKG,5000.0,199.0,239.0,,,,,superamoled,,,16.37,7.75,0.82,197.0
B0CKLT46MV,5000.0,119.0,7.54,,,,,,,8.0,16.15,7.38,0.8,175.0
B0CNKT21Z5,,164.99,182.07,,,,,,,,16.0,8.0,2.0,200.0
B0DRBWS1KW,5110.0,337.18,479.0,,xiaomi,android 12.0,6.67,amoled,2025.0,8.0,16.25,7.47,0.88,210.0
B0CWS3RM89,,83.5,87.89,,,,,,,,,,,
B09VNPFZGS,4500.0,245.49,340.41,,,,,amoled,,8.0,16.42,7.61,0.81,202.0
B0D177B1DH,19.0,89.99,239.99,,doogee,android 13.0,6.52,lcd,2024.0,12.0,16.58,7.62,0.91,193.0
