_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,iqr_outlier
B07NS5QPJM,2018.0,64.0,samsung,5.8,amoled,34.5,4.0,8.51,199.58,2960.0,1440.0,3000.0,25.897435897435894,1299.0,84.89,True
B07QZN6DGK,2019.0,128.0,samsung,6.2,lcd,24.2,2.0,10.0,166.0,1080.0,2400.0,3400.0,4.871794871794872,549.0,96.89,True
B07QZRWJ6D,2019.0,256.0,huawei,6.15,amoled,2.2,4.0,0.74,159.0,1080.0,2312.0,1.0,1278.4444444444443,349.0,198.0,True
B07R1Y57YF,2019.0,256.0,huawei,6.67,lcd,2.2,4.0,0.74,159.0,1080.0,2340.0,3340.0,1278.4444444444443,349.0,199.99,True
B07RJ14MQY,2019.0,256.0,google,5.6,oled,2.0,4.0,0.7,147.0,1080.0,2220.0,5000.0,2.954545454545454,249.99,249.99,True
B07VZY57MP,2020.0,256.0,samsung,6.3,amoled,3.1,8.0,0.79,168.0,1080.0,2340.0,3500.0,156.75,199.99,231.23,True
B07XQBG9ND,2019.0,512.0,ttfone,2.8,lcd,25.8,4.0,2.0,128.0,1080.0,2400.0,1400.0,263.3333333333333,109.99,94.55,True
B07YWSKJRY,2019.0,128.0,xiaomi,6.2,lcd,1.9,3.0,2.57,254.42,1920.0,1080.0,4500.0,194.66666666666663,199.99,74.7,True
B07YX526XT,2019.0,64.0,samsung,5.9,superamoled,2.9,1.0,2.57,254.42,1920.0,1080.0,3100.0,228.46153846153845,549.0,66.89,True
B082L1XCFC,2019.0,256.0,samsung,6.3,amoled,3.1,8.0,20.0,170.0,1440.0,3040.0,3500.0,13.23529411764706,199.99,215.0,True
B082WFVKL7,2020.0,256.0,samsung,6.5,superamoled,3.1,4.0,0.79,172.0,1080.0,2400.0,4000.0,409.7674418604651,369.0,229.87,True
B085RBT8KW,2020.0,128.0,oukitel,6.3,oled,2.1,6.0,1.73,370.0,1080.0,2400.0,5000.0,52.22222222222222,199.99,199.99,True
B08FXRH82S,2020.0,128.0,samsung,6.7,amoled,2.5,12.0,0.79,188.0,1440.0,3200.0,4500.0,3.5,369.99,369.99,True
B08LS9T2Q6,2020.0,128.0,doogee,6.55,lcd,2.9,4.0,0.89,190.0,1080.0,2280.0,4500.0,52.19512195121952,199.99,174.21,True
B08PCC2N1J,2012.0,256.0,apple,5.4,oled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0,True
B0DMW7WM42,2025.0,512.0,doogee,6.72,lcd,2.5,32.0,1.6,364.0,1080.0,2280.0,10100.0,16.382978723404253,469.99,369.99,True
B0CG6M6J58,2023.0,64.0,ttfone,1.8,lcd,0.0,32.0,0.9,180.0,128.0,160.0,800.0,6.666666666666667,199.99,21.99,True
B0DN153LCY,2025.0,256.0,oukitel,6.56,lcd,2.8,24.0,2.57,254.42,720.0,1600.0,5150.0,12.040816326530612,199.99,169.99,True
B0CP17MZ5X,2023.0,256.0,xiaomi,6.74,lcd,15.1,8.0,1.27,192.0,1080.0,2400.0,5000.0,7.096774193548387,499.99,136.27,True
B0CLL5GTDW,2018.0,64.0,fossibot,5.45,amoled,2.0,7.0,2.03,350.0,720.0,1440.0,10600.0,5.5813953488372094,139.99,139.99,True
B0BNQ5Y8BR,2022.0,256.0,unihertz,3.0,lcd,1.5,4.0,1.65,110.0,1080.0,2400.0,2000.0,52.0,149.99,209.99,True
B0CLV7XMVC,2023.0,256.0,doogee,4.5,lcd,2.8,8.0,2.57,254.42,1080.0,2400.0,3000.0,1.1904761904761905,169.99,169.99,True
B0DGLKLFJB,2025.0,256.0,oukitel,6.56,ips,2.0,24.0,1.53,680.0,720.0,1600.0,11000.0,16.444444444444443,259.99,249.99,True
